tick	antikeeper	claimer	harvester	longbuilder	longharvester	longminer	miner	shortminer	upgrader
17365473	0.43	0.47	0.75	0	0.47	0.50	0.51	0.12	0.31
17365573	0.46	0.48	0.60	0	0.49	0.49	0.29	0.11	0.28
17365673	0.53	0.28	0.70	0	0.42	0.46	0.31	0.12	0.32
17365773	0.44	0.41	0.66	0	0.49	0.50	0.34	0.11	0.31
17365873	0.46	0.76	0.69	1.01	0.48	0.48	0.40	0.17	0.33
17366273	0.46	0.31	0.76	0.49	0.50	0.46	0.50	0.12	0.35
17366373	0.41	0.40	0.67	0.33	0.50	0.69	0.52	0.13	0.30
17366473	0.40	0.60	0.66	0.31	0.53	0.51	0.50	0.13	0.37
17366573	0.46	0.31	0.57	0.40	0.54	0.47	0.50	0.12	0.34
17366673	0.40	0.34	0.72	0.39	0.50	0.48	0.50	0.11	0.36
17366973	0.40	0.30	0.69	0.33	0.51	0.49	0.47	0.13	0.29
17367073	0.40	0.39	0.76	0.36	0.51	0.49	0.30	0.14	0.29
17367272	0.44	0.33	0.74	0.47	0.53	0.41	0.47	0.15	0.34
17367472	0.54	0.52	0.90	0.62	0.49	0.38	0.52	0.15	0.34
17367572	0.64	0.32	0.79	0.46	0.55	0.47	0.51	0.12	0.32
17367672	0.56	0.48	0.66	0	0.57	0.47	0.49	0.13	0.34
17367772	0.47	0.60	0.74	0	0.48	0.50	0.50	0.10	0.32
17367872	0.50	0.62	0.78	0	0.49	0.45	0.50	0.12	0.40
17367972	0.42	0.56	0.71	0	0.52	0.38	0.53	0.13	0.37
17368072	0.43	0.61	0.56	0	0.48	0.36	0.49	0.11	0.36
17368172	0.41	0.78	0.73	0	0.48	0.54	0.49	0.12	0.32
17368272	0.42	0.54	0.60	0	0.49	0.43	0.33	0.12	0.33
17368372	0.39	0.64	0.68	0	0.48	0.35	0.43	0.10	0.32
17368472	0.47	0.32	0.76	0	0.47	0.40	0.43	0.10	0.33
17368572	0.39	0.39	0.68	0.59	0.55	0.41	0.38	0.15	0.30
17368672	0.41	0.53	0.75	0.34	0.46	0.41	0.50	0.11	0.30
17368772	0.51	0.33	0.82	0.73	0.50	0.47	0.51	0.15	0.54
17368872	0.48	0.46	0.60	0.46	0.53	0.51	0.49	0.14	0.30
17368972	0.41	0.48	0.62	0.47	0.48	0.49	0.50	0.13	0.33
17369072	0.43	0.54	0.75	0.87	0.47	0.49	0.49	0.12	0.31
17369172	0.39	0.44	0.78	0.94	0.50	0.71	0.53	0.15	0.31
17369272	0.48	0.27	0.66	0.70	0.61	0.49	0.50	0.11	0.34
17369372	0.43	0.25	0.58	0.69	0.50	0.45	0.42	0.12	0.34
17369472	0.40	0.45	0.66	0.76	0.51	0.49	0.54	0.12	0.35
17369572	0.41	0.42	0.70	0.84	0.49	0.42	0.45	0.18	0.33
17369773	0.46	0.50	0.51	0.73	0.54	0.46	0.41	0.15	0.32
17369973	0.72	0.39	0.87	0.65	0.41	0.39	0.43	0.08	0.31
17370073	0.61	0.52	0.69	0.80	0.49	0.37	0.40	0.13	0.29
17370173	0.49	0.29	0.70	0	0.47	0.49	0.49	0.08	0.35
17370273	0.41	0.40	0.76	0	0.52	0.54	0.49	0.10	0.32
17370373	0.38	0.49	0.56	0	0.55	0.51	0.50	0.13	0.37
17370473	0.42	0.27	0.65	0	0.48	0.60	0.49	0.09	0.32
17370573	0.49	0.49	0.54	0	0.52	0.56	0.50	0.12	0.30
17370673	0.39	0.55	0.68	0	0.50	0.44	0.50	0.13	0.32
17370773	0.39	0.30	0.65	0	0.67	0.41	0.52	0.13	0.31
17370873	0.44	0.45	0.73	0	0.54	0.52	0.48	0.12	0.30
17370973	0.59	0.51	0.67	0	0.51	0.45	0.39	0.14	0.33
17371073	0.51	0.48	0.74	0	0.52	0.44	0.41	0.12	0.30
17371173	0.59	0.38	0.64	0	0.46	0.53	0.48	0.17	0.35
17371273	0.40	0.60	0.53	0	0.54	0.50	0.40	0.10	0.30
17371373	0.41	0.73	0.70	0	0.43	0.39	0.46	0.12	0.34
17371473	0.52	0.34	0.79	0	0.48	0.57	0.49	0.11	0.32
17371573	0.38	0.45	0.59	0	0.45	0.42	0.50	0.13	0.29
17371673	0.42	0.37	0.66	0	0.52	0.41	0.49	0.12	0.34
17371773	0.40	0.29	0.62	0	0.52	0.55	0.49	0.14	0.35
17371873	0.38	0.60	0.71	0	0.45	0.62	0.50	0.15	0.32
17371973	0.58	0.49	0.72	0	0.45	0.45	0.50	0.14	0.30
17372073	0.45	0.30	0.59	0	0.52	0.53	0.50	0.13	0.34
17372173	0.39	0.48	0.78	0	0.56	0.42	0.51	0.15	0.31
17372273	0.43	0.60	0.73	0	0.50	0.41	0.38	0.14	0.32
17372373	0.44	0.35	0.71	0	0.45	0.54	0.45	0.19	0.32
17372473	0.48	0.50	0.51	0	0.59	0.44	0.36	0.14	0.33
17372573	0.43	0.29	0.66	0	0.50	0.40	0.48	0.25	0.30
17372673	0.64	0.66	0.68	0	0.31	0.36	0.49	0.07	0.32
17372773	0.47	0.39	0.62	0	0.51	0.37	0.49	0.18	0.30
17372873	0.43	0.25	0.68	0	0.56	0.48	0.49	0.10	0.31
17372972	0.48	0.64	0.73	0	0.51	0.54	0.49	0.13	0.32
17373072	0.45	0.48	0.90	0	0.58	0.53	0.50	0.17	0.34
17373172	0.45	0.38	0.82	0	0.61	0.48	0.51	0.14	0.34
17373272	0.51	0.53	0.79	0	0.51	0.76	0.50	0.16	0.33
17373372	0.38	0.44	0.76	0	0.57	0.47	0.50	0.12	0.33
17373472	0.52	0.37	0.77	0	0.48	0.44	0.56	0.13	0.34
17373572	0.44	0.52	0.56	0	0.51	0.54	0.50	0.16	0.31
17373672	0.47	0.44	0.74	0	0.60	0.48	0.33	0.14	0.31
17373772	0.42	0.43	0.66	0	0.47	0.47	0.45	0.11	0.31
17373872	0.47	0.49	0.76	0	0.54	0.57	0.48	0.26	0.36
17373972	0.39	0.38	0.72	0	0.55	0.51	0.40	0.11	0.32
17374072	0.42	0.28	0.77	0	0.53	0.44	0.51	0.12	0.31
17374172	0.47	0.49	0.66	0	0.55	0.52	0.55	0.14	0.32
17374272	0.40	0.45	0.75	0	0.59	0.49	0.54	0.15	0.35
17374372	0.41	0.35	0.74	0	0.52	0.50	0.46	0.12	0.42
17374473	0.49	0.27	0.75	0	0.53	0.60	0.48	0.11	0.33
17374573	0.50	0.52	0.71	0	0.59	0.48	0.50	0.14	0.30
17374673	0.41	0.44	0.69	0	0.50	0.74	0.49	0.12	0.31
17374773	0.58	0.27	0.76	0	0.51	0.50	0.51	0.10	0.35
17374973	0.45	0.56	0.70	0	0.48	0.43	0.45	0.10	0.32
17375073	0.68	0.29	0.59	0	0.30	0.34	0.40	0.09	0.36
17375179	0.72	0.42	0.61	0	0.55	0.54	0.37	0.14	0.36
17375279	0.61	0.48	0.66	0	0.47	0.48	0.50	0.12	0.32
17375379	0.79	0.26	0.93	0	0.50	0.45	0.50	0.10	0.30
17375479	0.44	0.28	0.76	0	0.47	0.52	0.50	0.11	0.30
17375579	0.73	0.64	0.89	0	0.53	0.53	0.50	0.13	0.30
17375679	0.48	0.27	0.83	0	0.42	0.50	0.55	0.09	0.37
17375779	0.52	0.25	0.71	0	0.58	0.48	0.51	0.21	0.32
17375979	0.42	0.28	0.66	0	0.49	0.59	0.53	0.10	0.31
17376079	0.57	0.26	0.65	0	0.60	0.51	0.51	0.12	0.41
