tick	antikeeper	builder	claimer	defender	harvester	longbuilder	longharvester	longminer	miner	shortminer	upgrader
17475819	0	0.52	0.45	0	0.63	0	0.22	0.47	0.46	0.09	0.31
17475919	0.25	0.54	0.32	0	0.70	0	0.22	0.50	0.48	0.10	0.31
17476019	0.20	0.41	0.80	0	0.65	0	0.21	0.46	0.47	0.10	0.36
17476119	0.13	0.48	0.60	0	0.62	0	0.21	0.47	0.47	0.08	0.38
17476218	0.16	0.43	0.54	0	0.53	0	0.21	0.46	0.47	0.08	0.33
17476318	0.20	0.46	0.38	0	0.62	0	0.18	0.50	0.48	0.10	0.32
17476418	0.19	0.39	0.74	0	0.60	0	0.14	0.49	0.48	0.07	0.33
17476518	0.16	0.40	0.40	0	0.70	0	0.21	0.44	0.50	0.09	0.35
17476618	0.14	0.48	0.36	0	0.66	0	0.24	0.48	0.46	0.09	0.35
17476718	0.12	0.50	0.85	0	0.68	0	0.23	0.46	0.48	0.08	0.34
17476818	0.11	0.41	0.83	0	0.58	0	0.23	0.45	0.51	0.09	0.34
17476918	0.11	0.43	0.27	0	0.66	0	0.24	0.48	0.49	0.09	0.32
17477018	0.12	0.48	0.46	0	0.57	0	0.20	1.01	0.46	0.07	0.39
17477118	0.11	0.39	0.82	0	0.55	0	0.23	0.95	0.48	0.09	0.36
17477217	0.10	0.38	0.31	0	0.69	0	0.29	1.49	0.51	0.10	0.29
17477316	0.23	0.44	0.49	0	0.63	0	0.19	0.97	0.49	0.12	0.34
17477416	0.25	0.46	0.63	0	0.62	0	0.28	0.50	0.48	0.10	0.39
17477516	0	0.39	0.32	0	0.66	0	0.43	0.43	0.48	0.10	0.32
17477616	0	0.55	0.45	0	0.60	0	0.43	0.46	0.49	0.07	0.32
17477716	0	0.43	0.67	0	0.53	0	0.49	0.49	0.50	0.10	0.31
17477816	0	0.45	0.30	0	0.59	0	0.43	0.40	0.48	0.08	0.34
17477915	0	0.35	0.34	0	0.56	0	0.41	0.41	0.42	0.09	0.31
17478015	0	0.41	0.65	0	0.53	0	0.42	0.46	0.49	0.10	0.30
17478115	0	0.39	0.62	0	0.46	0	0.44	0.47	0.45	0.10	0.30
17478213	0	0.51	0.30	0	0.55	0	0.51	0.48	0.53	0.09	0.37
17478301	0	0.17	0.18	0	0.36	0	0.26	0.27	0.21	0.11	0.15
17478391	0	0.30	0.46	0	0.27	0	0.62	0.21	0.14	0.12	0.24
17478491	0	0.42	0.34	0	0.42	0	0.65	0.67	0.32	0.09	0.38
17478591	0	0.44	0.55	0	0.67	0	0.49	1.10	0.46	0.10	0.41
17478691	0	0.40	0.80	0	0.53	0	0.42	0.50	0.38	0.10	0.35
17478791	0	0.36	0.33	0	0.50	0	0.40	0.45	0.42	0.07	0.31
17478891	0	0.38	0.36	0	0.55	0	0.55	0.52	0.42	0.09	0.30
17478991	0	0.33	0.55	0	0.52	0	0.54	0.53	0.44	0.11	0.29
17479091	0	0.34	0.34	0	0.56	0	0.47	0.44	0.51	0.07	0.35
17479191	0	0.49	0.48	0	0.45	0	0.52	0.48	0.46	0.08	0.29
