tick	builder	claimer	harvester	longharvester	longminer	miner	shortminer	upgrader
17502808	0.38	0.67	0.65	0.54	0.54	0.51	0.09	0.36
17502908	0.37	0.31	0.62	0.47	0.45	0.43	0.07	0.33
17503008	0.35	0.54	0.51	0.43	0.52	0.51	0.07	0.33
17503108	0.37	0.48	0.53	0.55	1.13	0.47	0.08	0.33
17503208	0.43	0.64	0.57	0.52	0.63	0.49	0.08	0.30
17503308	0.42	0.48	0.52	0.35	0.51	0.53	0.11	0.39
17503408	0.39	0.63	0.52	0.57	0.46	0.51	0.08	0.32
17503507	0.44	0.37	0.54	0.53	0.47	0.54	0.08	0.34
17503607	0.45	0.35	0.69	0.48	0.56	0.53	0.09	0.35
17503707	0.47	0.55	0.59	0.38	0.50	0.46	0.11	0.36
17503807	0.41	0.57	0.60	0.46	0.51	0.51	0.08	0.37
17503911	0.38	0.50	0.49	0.44	0.53	0.50	0.08	0.35
17504011	0.36	0.56	0.47	0.49	0.47	0.45	0.08	0.37
17504111	0.33	0.48	0.48	0.49	0.47	0.44	0.07	0.32
17504211	0.31	0.50	0.62	0.34	0.41	0.46	0.09	0.32
17504311	0.39	0.72	0.61	0.48	0.46	0.46	0.07	0.33
17504411	0.38	0.64	0.60	0.51	0.74	0.43	0.06	0.33
17504511	0.45	0.36	0.48	0.42	0.53	0.46	0.07	0.35
17504611	0.40	0.51	0.56	0.53	0.50	0.50	0.07	0.30
17504711	0.36	0.34	0.46	0.41	0.45	0.50	0.07	0.30
17504811	0.29	0.56	0.50	0.45	0.51	0.52	0.06	0.29
17504911	0.30	0.49	0.49	0.45	0.43	0.48	0.07	0.30
