tick	antikeeper	builder	claimer	harvester	longbuilder	longharvester	longminer	miner	shortminer	upgrader
17548171	0	0.42	0.54	0.60	0.02	0.44	0.22	0.52	0.09	0.29
17548271	0.27	0.37	0.62	0.55	0.02	0.31	0.19	0.54	0.06	0.27
17548371	0.26	0.33	0.33	0.49	0.02	0.38	0.21	0.49	0.08	0.35
17548471	0.21	0.36	0.38	0.48	0.02	0.26	0.18	0.53	0.07	0.22
17548571	0.41	0.34	0.70	0.49	0.02	0.27	0.18	0.54	0.07	0.25
17548671	0.75	0.39	0.43	0.54	0.02	0.34	0.18	0.53	0.08	0.24
17548771	0.80	0.32	0.37	0.51	0.02	0.25	0.19	0.49	0.08	0.25
17548871	0.77	0.36	0.76	0.43	0.01	0.20	0.19	0.63	0.08	0.30
17548971	0.88	0.37	0.38	0.55	0.02	0.30	0.29	0.48	0.17	0.32
17549071	0.79	0.34	0.31	0.57	0.03	0.32	0.34	0.50	0.08	0.32
17549171	1.27	0.37	0.46	0.43	0.02	0.27	0.17	0.49	0.19	0.26
17549271	0	0.41	0.66	0.46	0.02	0.26	0.23	0.49	0.09	0.29
17549371	0	0.35	0.32	0.52	0.16	0.44	0.38	0.53	0.09	0.28
17549471	1.04	0.32	0.53	0.43	0.39	0.65	0.41	0.51	0.07	0.28
17549572	1.05	0.40	0.44	0.42	0.57	0.42	0.35	0.52	0.07	0.19
17549672	0.60	0.39	0.55	0.44	0.64	0.51	0.48	0.48	0.08	0.31
17549772	0.40	0.38	0.36	0.54	0.40	0.51	0.49	0.49	0.09	0.33
17549872	0.54	0.36	0.37	0.64	0.28	0.49	0.44	0.50	0.10	0.28
17549972	0.61	0.39	0.76	0.46	0.72	0.48	0.49	0.56	0.09	0.28
17550072	0.41	0.34	0.39	0.53	0.46	0.50	0.53	0.49	0.12	0.22
17550172	0.48	0.32	0.29	0.64	0.58	0.49	0.50	0.46	0.08	0.26
17550272	0.52	0.33	0.50	0.51	0.35	0.54	0.48	0.45	0.13	0.33
17550372	0.42	0.37	0.43	0.51	0.34	0.49	0.66	0.48	0.08	0.27
17550472	0.49	0.33	0.26	0.57	0.42	0.51	0.38	0.48	0.20	0.29
17550572	0.60	0.33	0.76	0.47	0.51	0.55	0.49	0.47	0.12	0.28
17550672	0.67	0.39	0.61	0.55	0.43	0.51	0.46	0.48	0.13	0.28
17550772	0.48	0.47	0.27	0.64	0.64	0.43	0.38	0.50	0.09	0.30
17550872	0.60	0.35	0.73	0.58	0.28	0.60	0.47	0.50	0.09	0.27
17550972	0.84	0.41	0.55	0.59	0.50	0.50	0.51	0.50	0.10	0.29
17551072	0.62	0.38	0.34	0.64	0.40	0.45	0.31	0.51	0.11	0.30
17551172	1.00	0.38	0.72	0.60	0.42	0.46	0.50	0.51	0.07	0.36
17551272	0.69	0.38	0.33	0.59	0.38	0.54	0.45	0.51	0.12	0.30
17551372	0.70	0.39	0.36	0.52	0.43	0.45	0.47	0.50	0.08	0.32
17551473	0.40	0.38	0.74	0.68	0.37	0.57	0.50	0.47	0.14	0.27
17551573	0.44	0.36	0.33	0.64	0.33	0.46	0.44	0.48	0.17	0.28
17551673	0.99	0.27	0.32	0.48	0.42	0.46	0.48	0.50	0.09	0.25
17551773	0.52	0.36	0.62	0.54	0.48	0.49	0.50	0.49	0.10	0.33
17551873	0.46	0.42	0.29	0.59	0.47	0.54	0.46	0.51	0.09	0.29
17551973	0.65	0.38	0.29	0.53	0.53	0.53	0.44	0.51	0.10	0.32
17552073	0.67	0.37	0.65	0.56	0.39	0.53	0.52	0.51	0.11	0.28
17552173	0.46	0.46	0.33	0.60	0.31	0.49	0.43	0.51	0.09	0.32
17552273	0.63	0.39	0.28	0.54	0.32	0.48	0.37	0.49	0.10	0.29
17552373	0.76	0.38	0.81	0.57	0.34	0.62	0.50	0.48	0.09	0.28
17552473	0.55	0.45	0.35	0.72	0.30	0.45	0.43	0.51	0.10	0.28
17552573	0.74	0.41	0.28	0.49	0.31	0.54	0.45	0.51	0.09	0.26
17552673	0.64	0.35	0.72	0.54	0.52	0.57	0.49	0.48	0.10	0.25
17552772	0.49	0.40	0.59	0.53	0.60	0.54	0.50	0.48	0.17	0.28
17552872	0.63	0.38	0.31	0.60	0.57	0.60	0.62	0.47	0.16	0.30
17552972	0.78	0.49	0.50	0.57	0.54	0.58	0.51	0.48	0.14	0.31
17553072	0.62	0.43	0.27	0.52	0.51	0.59	0.48	0.51	0.12	0.27
17553172	0.86	0.38	0.41	0.56	0.38	0.48	0.50	0.47	0.13	0.31
17553272	0.78	0.41	0.51	0.52	0.42	0.52	0.45	0.47	0.21	0.30
17553372	0.36	0.34	0.26	0.64	0.50	0.59	0.48	0.50	0.11	0.29
17553472	0.65	0.48	0.62	0.49	0.58	0.54	0.51	0.51	0.10	0.28
17553572	0.71	0.31	0.78	0.44	0.41	0.56	0.46	0.57	0.08	0.27
17553672	0.57	0.33	0.32	0.58	0.51	0.56	0.47	0.55	0.11	0.32
17553772	0.73	0.34	0.55	0.55	0.48	0.48	0.42	0.49	0.10	0.32
17553872	0.81	0.28	0.54	0.55	0.36	0.42	0.44	0.51	0.08	0.31
17553972	0.58	0.32	0.49	0.52	0.32	0.42	0.48	0.53	0.09	0.31
17554072	0.52	0.33	0.48	0.46	0.49	0.44	0.47	0.52	0.16	0.26
17554172	0.52	0.29	0.31	0.70	0.35	0.42	0.48	0.46	0.23	0.25
17554272	0.50	0.29	0.50	0.49	0.40	0.42	0.46	0.49	0.17	0.26
17554372	0.47	0.34	0.41	0.51	0.41	0.44	0.45	0.50	0.09	0.27
17554472	0.49	0.28	0.36	0.51	0.28	0.45	0.48	0.49	0.09	0.27
17554572	0.52	0.37	0.39	0.57	0.27	0.43	1.02	0.47	0.21	0.27
17554672	0.60	0.33	0.33	0.58	0.42	0.47	1.33	0.49	0.10	0.29
17554772	0.52	0.45	0.35	0.60	0.38	0.52	1.09	0.51	0.11	0.28
17554872	0.59	0.37	0.43	0.58	0.31	0.80	1.61	0.51	0.13	0.28
17554972	0.58	0.36	0.40	0.53	0.30	0.80	1.61	0.51	0.09	0.29
17555210	0.49	0.36	0.35	0.52	0.29	0.48	0.89	0.51	0.10	0.32
17555316	1.14	0.32	0.49	0.54	0.04	0.44	0.35	0.53	0.10	0.31
17555427	1.17	0.32	0.66	0.59	0.01	0.53	0.20	0.48	0.12	0.33
17555527	0	0.29	0.27	0.46	0.02	0.46	0.20	0.47	0.08	0.26
17555727	0.24	0.34	0.72	0.44	0.02	0.45	0.32	0.49	0.08	0.24
17555827	0.23	0.31	0.43	0.42	0.02	0.44	0.35	0.47	0.08	0.27
17555927	0.16	0.39	0.26	0.49	0.02	0.48	0.39	0.46	0.08	0.25
17556027	0.50	0.31	0.62	0.45	0.02	0.53	0.79	0.49	0.08	0.26
17556128	0.59	0.31	0.29	0.52	0.03	0.47	0.34	0.51	0.08	0.30
17556228	1.00	0.33	0.30	0.47	0.34	0.66	0.40	0.49	0.09	0.29
17556328	0.57	0.36	0.39	0.47	0.35	0.62	0.51	0.47	0.09	0.21
17556428	0.41	0.36	0.61	0.55	0.35	0.54	0.40	0.51	0.10	0.26
17556528	0.58	0.31	0.67	0.58	0.38	0.51	0.39	0.51	0.09	0.26
