tick	antikeeper	builder	claimer	harvester	longharvester	longminer	miner	shortminer	upgrader
17591281	0.66	0.39	0.59	0.63	0.53	0.39	0.54	0.09	0.28
17591380	0.86	0.36	0.37	0.67	0.50	0.49	0.47	0.11	0.31
17591480	0.93	0.34	0.36	0.65	0.49	0.54	0.47	0.11	0.36
17591580	0.87	0.42	0.61	0.63	0.58	0.52	0.44	0.09	0.36
17591680	0.85	0.38	0.38	0.61	0.49	0.51	0.46	0.11	0.32
17591880	0.66	0.32	0.63	0.50	0.50	0.51	0.45	0.08	0.29
17591980	0.53	0.38	0.35	0.56	0.53	0.43	0.49	0.08	0.30
17592080	0.66	0.52	0.31	0.57	0.52	0.48	0.50	0.11	0.29
17592180	0.64	0.47	0.57	0.42	0.47	0.49	0.54	0.09	0.30
17592280	0.59	0.35	0.43	0.65	0.49	0.45	0.55	0.08	0.31
17592380	0.65	0.42	0.30	0.48	0.50	0.56	0.54	0.10	0.29
17592480	0.76	0.33	0.49	0.52	0.50	0.66	0.48	0.08	0.37
17592580	0.57	0.35	0.34	0.64	0.55	0.45	0.50	0.10	0.32
17592680	0.78	0.37	0.63	0.52	0.61	0.44	0.48	0.09	0.32
17592780	0.65	0.34	0.50	0.56	0.57	0.41	0.49	0.09	0.32
17592880	0.60	0.43	0.68	0.57	0.53	0.48	0.46	0.10	0.31
17592980	0.89	0.27	0.36	0.60	0.53	0.46	0.47	0.09	0.34
17593080	0.70	0.32	0.55	0.48	0.54	0.48	0.51	0.18	0.35
17593280	0.73	0.33	0.35	0.59	0.49	0.47	0.46	0.09	0.28
17593380	0.53	0.64	0.27	0.55	0.42	0.49	0.48	0.07	0.27
17593480	0	0	0	0	0	0	0	0	0
17593580	0	0	0	0	0	0	0	0	0
17593680	0	0	0	0	0	0	0	0	0
17593780	0	0	0	0	0	0	0	0	0
17593880	0	0	0	0	0	0	0	0	0
17593980	0	0	0	0	0	0	0	0	0
17594080	0	0	0	0	0	0	0	0	0
17594180	0	0	0	0	0	0	0	0	0
17594280	0	0	0	0	0	0	0	0	0
17594380	0	0	0	0	0	0	0	0	0
17594480	0	0	0	0	0	0	0	0	0
17594580	0	0	0	0	0	0	0	0	0
17594680	0	0	0	0	0	0	0	0	0
17594780	0	0	0	0	0	0	0	0	0
17594880	0	0	0	0	0	0	0	0	0
17594980	0	0	0	0	0	0	0	0	0
17595080	0	0	0	0	0	0	0	0	0
17595180	0	0	0	0	0	0	0	0	0
17595280	0	0	0	0	0	0	0	0	0
17595380	0	0	0	0	0	0	0	0	0
17595480	0	0	0	0	0	0	0	0	0
17595580	0	0	0	0	0	0	0	0	0
17595680	0	0	0	0	0	0	0	0	0
17595780	0	0	0	0	0	0	0	0	0
17595880	0	0	0	0	0	0	0	0	0
17595980	0	0	0	0	0	0	0	0	0
17596080	0	0	0	0	0	0	0	0	0
17596180	0	0	0	0	0	0	0	0	0
17596280	0	0	0	0	0	0	0	0	0
17596380	0	0	0	0	0	0	0	0	0
17596480	0	0	0	0	0	0	0	0	0
17596580	0	0	0	0	0	0	0	0	0
17596680	0	0	0	0	0	0	0	0	0
17596779	0	0	0	0	0	0	0	0	0
17596879	0	0	0	0	0	0	0	0	0
17596979	0	0	0	0	0	0	0	0	0
17597079	0	0	0	0	0	0	0	0	0
17597179	0	0	0	0	0	0	0	0	0
17597279	0	0	0	0	0	0	0	0	0
17597379	0	0	0	0	0	0	0	0	0
17597479	0	0	0	0	0	0	0	0	0
17597579	0	0	0	0	0	0	0	0	0
17597679	0	0	0	0	0	0	0	0	0
17597779	0	0	0	0	0	0	0	0	0
17597879	0	0	0	0	0	0	0	0	0
17597979	0	0	0	0	0	0	0	0	0
17598079	0	0	0	0	0	0	0	0	0
17598179	0	0	0	0	0	0	0	0	0
17598279	0	0	0	0	0	0	0	0	0
17598379	0	0	0	0	0	0	0	0	0
17598479	0	0	0	0	0	0	0	0	0
17598579	0	0	0	0	0	0	0	0	0
17598679	0	0	0	0	0	0	0	0	0
17598779	0	0	0	0	0	0	0	0	0
17598879	0	0	0	0	0	0	0	0	0
17598979	0	0	0	0	0	0	0	0	0
17599079	0	0	0	0	0	0	0	0	0
17599179	0	0	0	0	0	0	0	0	0
17599279	0	0	0	0	0	0	0	0	0
17599379	0	0	0	0	0	0	0	0	0
17599479	0	0	0	0	0	0	0	0	0
17599579	0	0	0	0	0	0	0	0	0
17599679	0	0	0	0	0	0	0	0	0
17599779	0	0	0	0	0	0	0	0	0
17599879	0	0	0	0	0	0	0	0	0
17599979	0	0	0	0	0	0	0	0	0
17600079	0	0	0	0	0	0	0	0	0
17600179	0	0	0	0	0	0	0	0	0
17600279	0	0	0	0	0	0	0	0	0
17600379	0	0	0	0	0	0	0	0	0
17600479	0	0	0	0	0	0	0	0	0
17600579	0	0	0	0	0	0	0	0	0
