tick	_total	create	finish	memory	needList	run
17365473	4200.8	20.4	0.1	313.1	721.7	3139.6
17365573	3827.8	12	0.1	282.2	675.9	2851.6
17365673	3822.4	9.8	0.1	340.8	723.9	2742.3
17365773	3830.2	21.5	0.1	259.3	690.9	2853.5
17365873	4335.3	20.5	0.1	334.8	715	3259.5
17366273	4018.8	45.5	0.3	295.4	629.9	3040.7
17366373	4069.2	51.1	0.1	334.7	586.7	3090.1
17366473	4140.4	17.8	0.1	275.7	590.6	3250.1
17366573	4013.5	20.6	0.1	311.3	689.1	2984.7
17366673	4089.6	19.9	0.1	346.5	677.5	3038.9
17366973	4063.6	14.1	0.1	383.9	661.2	2997.6
17367073	3967.6	15.7	0.1	292.4	696.7	2956.8
17367272	4421.6	7.8	0.2	406.6	780.7	3217
17367472	4605.4	10.3	0.2	359	773.1	3453.2
17367572	4398.1	16.3	0.1	370	764.6	3238.3
17367672	4050.1	38.4	0.1	309.8	596.7	3097.6
17367772	4286.5	17.9	0.1	480.2	607.4	3172.9
17367872	4281.2	11.7	0.1	411.6	583.4	3267.1
17367972	4153.3	10.3	0.1	465.5	620.2	3050.2
17368072	3802.6	6	0.1	328.8	619.2	2841.5
17368172	4447.3	30.2	0.1	380.8	667	3360.7
17368272	3866.4	17.2	0.1	342.4	596.3	2901.3
17368372	4033.7	8.8	0.2	400.7	627.7	2987.1
17368472	4059.6	18.2	0.1	376.6	712.1	2926.8
17368572	4141.4	7.9	0.1	445.3	629.2	3049.6
17368672	3990.1	9.5	0.1	365	680.4	2924.7
17368772	4412.9	8.7	0.1	431	716.8	3246.9
17368872	4253.3	9.7	0.1	368.9	798.1	3065.8
17368972	4115	11.6	0.1	482.4	730.4	2880.8
17369072	4380.1	16.8	0.3	456.5	689.7	3206.2
17369172	4579.5	21.2	0.1	466.5	614.8	3467.4
17369272	4205.6	15.1	0.1	342.5	701.4	3137
17369372	3814.4	35.6	0.2	387.1	697.2	2684.7
17369472	4086.6	22.4	0.1	312.4	685.9	3041.5
17369572	4042.4	21.9	0.1	341.4	675.4	2992.4
17369773	4157	18.5	0.1	376.6	701.6	3051.2
17369973	4110.5	4.4	0.1	432.5	712.8	2950.7
17370073	3965.1	9.3	0.1	336.4	743.1	2866.7
17370173	3827.8	15.5	0.2	311.5	677.8	2813.5
17370273	3981.8	12.5	0.1	374.9	574.1	3010.9
17370373	4289	13.2	0.1	406.6	696.4	3162.8
17370473	3772.8	12	0.1	289	581.8	2881.2
17370573	4034.1	21.3	0.1	414	622.4	2967.5
17370673	4062.8	11.6	0.1	442.4	594.2	3005.8
17370773	4114.5	51.9	0.2	343.2	603.2	3106.8
17370873	4204.9	16.3	0.2	473.8	629.6	3063.1
17370973	4264.3	19.7	0.1	548.5	595.8	3090.5
17371073	4328.4	17.9	0.2	484.9	657.4	3158.8
17371173	3956.7	19.9	0.1	382.7	672.2	2872.5
17371273	4064.5	6.6	0.1	414.3	692.3	2942.3
17371373	4198.3	3.7	0.1	411.4	757.9	3015.4
17371473	4144.9	7.9	0.1	522.6	681.8	2923.3
17371573	3823.8	11.8	0.1	434.2	712.5	2656.3
17371673	4417	27.3	0.2	495.9	948.2	2935.5
17371773	4060.5	13.8	0.1	471.2	694.3	2871
17371873	4180.4	22.8	0.1	450.9	662.7	3034.5
17371973	4364.3	23.9	0.1	601.3	656.5	3073.2
17372073	3916.2	5.8	0.2	345.1	728.5	2827.3
17372173	4141.9	13.8	0.1	332.1	721.2	3065.6
17372273	4426.4	23.8	0.2	388.9	914	3077.9
17372373	4024.5	12.9	0.1	304.8	599.7	3098.6
17372473	4070.8	10.4	0.1	483.5	660	2907.3
17372573	4034.9	14	0.1	418.2	736.7	2856.6
17372673	3710.3	9.5	0.2	337.7	606.8	2747.5
17372773	3828.3	4.1	0.1	407.2	581.2	2826.4
