tick	_total	create	finish	memory	needList	roomUpdate	run
17435932	5712.7	76.6	0.2	974.1	759.2	15.6	3880.8
17436032	5483.2	17.3	0.1	1001.3	758.5	14.2	3676.1
17436132	5268.1	35.2	0.1	960.9	733.6	14.1	3518.4
17436233	5760.6	80.9	0.2	917	820.7	15.4	3921
17436333	5682.4	53	0.1	884	758.6	15.2	3966.3
17436433	5394.3	56.9	0.1	915	756.3	14	3646.2
17436533	5441.6	62.8	0.1	965.3	766.2	16.9	3624.1
17436633	5853.4	69.1	0.1	794.1	815.2	15.3	4153.8
17436733	5649.4	50.8	0.2	938.1	889.4	15.6	3748.5
17436833	5220.4	34	0.1	989.5	781.9	15.3	3394.3
17436933	5582	92.1	0.2	939.2	783.1	16.5	3745
17437033	5902.4	17.3	0.1	966.3	837.1	14.9	4060.4
17437133	5734.4	16.2	0.1	1164.9	884.8	15.9	3646.8
17437233	5812.7	95.6	0.2	1040.9	824.6	15.3	3829
17437333	5986.9	67.1	0.2	1026.8	794.9	15.4	4076.5
17437433	6291.2	61.4	0.2	1019.2	816.5	14.3	4373.8
17437533	5441.6	70.2	0.2	897.4	762.3	15.9	3687.9
17437633	5310.2	49.4	0.2	974	807.1	16.6	3457.1
17437733	5427.3	72.1	0.1	855.7	783.9	13.4	3696.4
17437833	5658.4	52.5	0.2	918	866.4	32.6	3782.3
17437933	5195	67.9	0.2	891.6	751.7	15.5	3461.5
17438033	5805.7	43.8	0.2	1043.3	871.7	15.9	3824.6
17438133	5789.4	38.5	0.2	1054.9	802.6	49.5	3838.2
17438233	5340.2	96.3	0.1	833.8	719.2	14.4	3672.6
17438333	5324.1	69.6	0.1	869.4	837.4	15.3	3528
17438433	5974.2	153.6	0.2	864.8	802.7	19.7	4127.9
17438533	6565.1	82.6	0.2	1024.1	751.2	16.2	4685.7
17438633	5739.2	45.2	0.2	1008.4	868.5	17.2	3794.4
17438733	5717.6	80.9	0.2	1067.9	788.2	16.7	3757.7
17438833	5794.3	44.9	0.2	954.2	793.5	18.4	3976.4
17438933	5679	73.8	0.2	910.2	757.6	13.8	3917.3
17439033	5855.3	90.6	0.2	1146.3	823.8	14.5	3774.2
17439133	6155.5	113.9	0.2	1075.6	834	17.4	4107.4
17439233	6057.1	46.1	0.2	960.1	873	17.5	4154.4
17439333	4994.7	56.1	0.2	1002.8	917.6	16.9	2995.4
17439433	4906.3	69	0.2	1081.7	892.3	20.2	2836.9
17439533	4653.2	88.4	0.2	876.5	746.1	13.7	2922.2
17439633	4596.4	97	0.2	997.9	735.9	14	2745.8
17439733	4627.6	129.8	0.2	1020.3	850.4	15.3	2605.7
17439833	4648.3	120.4	0.2	1012.5	761.7	13.1	2735.7
17439933	4942.2	74.6	0.2	1003.2	832.4	22.1	3004.6
17440034	5059.1	133.1	0.2	971.6	838.8	17	3092.4
17440134	4479	141.8	0.1	745.7	768	28.8	2790.4
17440234	4176.4	111.3	0.1	807.4	698.8	14.8	2538.5
17440334	4721.7	119.1	0.2	798.1	737.4	15.3	3046.8
17440434	4549.4	139	0.2	904.5	730.9	15.8	2752.3
17440533	4608	105	0.2	953.7	844.2	23.4	2661
17440633	4734.6	158.6	0.3	997.4	856.2	22	2692.9
17440733	5790.1	123.6	0.2	956.8	861	21.6	3820.4
17440833	4887.9	81	0.2	816.5	690.2	16	3278.5
17440933	4552.1	75	0.2	841.3	665.9	17.4	2947.1
17441034	4875.2	116.6	0.1	805.1	657.8	15.9	3274.3
17441134	5006.8	97.3	0.1	920.5	688.7	17.9	3277.5
17441234	4554.4	79.4	0.1	871.7	665.3	16.2	2916.8
17441334	5107.5	78.9	0.1	875.1	828.3	16.2	3303
17441434	5162	56.5	0.1	882.3	661.2	16.4	3540.1
17441534	4585.5	101.1	0.1	823.4	612.2	16.8	3027.2
17441634	4482.5	82.2	0.1	819	692	15.6	2868.4
17441734	4413.9	56.2	0.1	681.8	640.4	14.1	3017.9
17441834	4426.1	63.9	0.1	903.8	618.2	15.1	2821
17441934	4332.8	79.2	0.1	769.1	679.4	16.4	2784.6
17442034	4444.5	114.9	0.5	768.8	646.2	15.9	2893.4
17442134	4590.4	126.6	0.1	788.8	642.4	14.2	3014.5
17442234	4476.3	85.4	0.1	792	665.7	15.9	2911.7
17442334	4327.9	73.6	0.2	864.1	653.5	16.7	2714.5
17442434	4108.7	121.2	0.2	808.4	637.6	16.4	2519.5
17442534	4232.4	114.6	0.1	829.9	626.2	16.9	2638.9
17442634	4651.1	68.1	0.1	812.1	674.4	15.7	3075.5
17442734	4323.3	119.1	0.1	788.9	625.7	15.6	2769
17442834	4695.6	98.1	0.3	862.5	716.7	16.8	2995.5
17442934	4778.8	116.3	0.2	839.6	668	15.9	3132.8
17443034	4185.5	115.9	0.3	763.5	626.7	17.3	2656.4
17443134	4444.5	128.6	0.2	800.7	676.3	17	2816
17443234	4771	116	0.1	809.4	698.7	15.7	3126.7
17443334	4881.7	67.1	0.1	739.4	679.5	17.6	3374
17443434	4407.4	63.3	0.2	814.7	672.8	17.1	2834.6
17443534	4386.1	112.4	0.1	854.6	614.7	15.7	2782.4
17443634	4919.9	129.1	0.2	793.4	705.9	17.9	3267.5
17443735	4588.9	110.8	0.1	848.4	657.7	16.7	2950.8
17443935	4958.9	81.8	0.2	938	687.9	17.4	3229.2
17444041	4236.3	84.9	0.2	683.9	674.4	15.7	2820.4
17444241	4585.3	103.9	0.2	572.7	690.2	18.2	3195.6
17444341	4448.9	90.4	0.1	575.2	651.1	19.2	3108
17444541	4873.7	153.8	0.2	671.1	742.9	19.9	3280.2
17444641	4488.8	82.4	0.1	559	656	17.9	3168.3
17444741	3995.4	108.5	0.2	536.7	581.1	15.3	2749.1
17444841	4614.5	131.1	0.2	603.6	691.7	20.1	3163.1
17444941	4646.2	69.8	0.2	653	679.8	18.1	3221.1
17445041	4565	139.3	0.2	711.8	669.5	17.1	3021.7
17445141	4653.2	131	0.2	635.7	661.2	19	3200.4
17445241	5077.9	111.4	0.2	718.4	692.1	17.3	3532.8
17445341	4763	83.9	0.1	766.9	674.5	18	3213.7
17445441	4548.1	103.7	0.1	684.6	670.5	19.2	3064.8
17445541	5349.6	98.5	0.1	704.9	788.9	18	3733.5
17445641	5180.7	80.1	0.1	638.5	753.9	19.1	3684.1
17445741	4956.7	91.5	0.1	641.4	635.5	18.6	3565.1
17445842	4293.5	113.2	0.1	580.8	618.4	18.1	2958.5
17445942	4644.5	118.9	0.1	605	701.9	16.6	3196.5
17446041	5133.4	143.1	0.2	749.8	795.5	26	3411.9
17446141	5036.8	116.9	0.4	706.9	798.9	24.8	3382.5
17446241	5296.8	231.4	0.2	681.9	847.3	38.7	3490.9
17446341	4617.6	132.8	0.1	543.6	629.3	17.4	3289.8
17446441	4248.9	65	0.1	539.7	642.5	19.6	2977.5
17446541	4291.3	148.7	0.2	625.5	691.6	19.6	2799
17446641	4575.4	166.8	0.2	711.6	652.6	19.9	3017.8
17446741	4255.3	92.5	0.2	631.4	696.9	20.3	2807.6
17446841	4409.8	168.1	0.2	598	719.6	20.2	2897.7
17446941	4695.4	139.9	0.2	777.3	640.9	20.1	3110.6
17447041	4691.2	153.1	0.2	638.5	642.8	22.7	3228.6
17447142	4041.6	190.9	0.2	654.8	661.7	20.5	2506.4
17447242	3547	105.4	0.2	540.9	560.4	16.8	2318.3
17447342	4081.6	175.2	0.2	601.6	660.9	18.5	2619.4
17447442	4036.2	158.4	0.1	619.1	658.7	19.4	2574.9
17447542	3749.6	136.5	0.2	678.1	520.9	19	2389.3
17447642	3431.4	104.2	0.2	587.8	522.8	18.6	2193.1
17447742	3720.7	87.5	0.1	684.9	593.4	21.2	2328.5
17447842	4049.6	168.4	0.1	580.4	543.8	19.4	2732
17447942	3591.5	153.1	0.1	591.5	533.5	19.3	2289.5
17448042	3740.7	138.3	0.2	576.6	599.5	20.2	2400.7
17448142	3898.6	107	0.1	576.2	728.7	18.7	2462.7
17448242	3612.6	88.7	0.1	599	552.8	17.6	2349.4
17448343	3748.5	227.1	0.2	662.9	584.7	30.8	2237.3
17448443	3836.1	176.7	0.2	618.4	607.6	17.7	2409.8
17448543	3787.3	97.9	0.2	578.3	534.9	18.2	2552.4
17448643	3805.4	137	0.2	693	585.4	20.1	2364.2
17448743	3683	138.2	0.2	590.3	569	19.2	2360.3
17448843	3465.7	124.4	0.2	503.6	547.9	17.8	2266.5
17448943	3892.4	112.2	0.1	629.3	599.8	19.9	2525.5
17449043	3839.5	134	0.2	611.7	649.3	19.2	2420.3
17449143	3723.1	126.9	0.2	625.2	562.9	20.2	2382.8
17449243	4265.8	88.8	0.2	667.1	715.4	21	2768.1
17449343	3990.8	187.9	0.1	644.6	608.4	18.2	2527.1
17449443	3958.8	212.7	0.2	601.6	575.7	19.1	2545.1
17449543	3731.9	159.6	0.2	609.9	591	22.5	2343.7
17449643	3853.5	130.3	0.2	651.6	617.1	19.6	2429.3
17449743	3801.3	81.3	0.1	691.7	594	20.2	2409.4
17449843	3975.2	91	0.2	629.6	590.9	21.8	2637.5
17449943	4181.9	123.5	0.2	588.1	693.5	19.1	2752.8
17450043	4113.3	60.9	0.1	559.7	585.5	19.5	2878.5
17450144	3972.4	91.2	0.2	532.5	633.8	23.9	2685.3
17450545	4088.3	237.9	0.2	751.1	616.5	22.7	2453.7
17450645	4556.3	177.8	0.2	676.6	566.3	18.6	3111
17450745	4134.6	67.1	0.1	763.3	602.2	18	2678.7
17450845	3584.3	65.5	0.2	538.9	553.3	15.8	2406.4
17450945	4358.1	82.6	0.2	608.6	549.5	15.6	3096.8
17451045	3681	65.5	0.3	560.4	578.1	16.9	2454.5
17451145	3787.7	78.8	0.2	571.7	539.1	16.2	2576.4
17451245	4444.5	53.6	0.2	711.2	548.7	20	3106.1
17451345	4287.1	71.4	0.2	603.5	595	16.3	2995.6
17451444	4262.8	55.5	0.2	723.1	611.1	21.4	2845.9
17451544	5104.1	117.6	0.3	730.7	776.9	23.3	3448.3
17451644	5447.8	103.6	0.2	806.3	755.9	27.5	3746.5
17451744	4338.6	117.4	0.2	698.2	685.5	24	2806.7
17451844	3812	70.1	0.1	536.5	589.1	18.4	2592.7
17451944	4196.6	111.4	0.2	662.4	612.4	21.1	2782.4
17452044	3693.9	165.9	0.1	640.5	560.4	20.1	2300.9
17452144	3885.8	118.3	0.2	626.4	545.7	19.7	2570.5
17452244	4056.7	109.2	0.1	650.3	589.6	20.1	2681
17452344	3834.6	137.5	0.2	612.7	535.6	20.8	2521.9
17452444	3904.6	102.4	0.2	630.3	547.3	20.8	2597.5
17452544	4253	54.8	0.2	668.2	689.5	20	2814
17452644	4377.7	144.2	0.2	644.5	581.7	19	2981.8
17452744	4328.9	65.3	0.1	620.2	565.6	19.9	3051.7
17452844	4574.3	106.5	0.2	668.9	601.8	21.5	3168.7
17452944	4502.6	101	0.2	668.2	617.2	21.4	3088.5
17453044	4647.6	91.5	0.2	680.9	604	22.4	3242.5
17453144	4588	78	0.2	685.9	611	21.7	3185.5
17453244	4150.2	54.9	0.2	620.1	560.1	19.8	2889.5
17453344	4429.1	87.1	0.2	674.6	569.7	20.8	3071.1
17453444	3927.9	70.1	0.2	557.7	583.3	20.5	2691
17453544	4284.9	59.2	0.1	552.4	547	18.7	3102.8
17453644	4115.6	68	0.2	572.6	567.3	19.4	2883.4
17453744	4312.8	73.6	0.2	684.1	703.1	21.6	2823.5
17453844	4077.5	64.5	0.2	686.8	568.1	20.4	2731.7
17453944	4582.4	89	0.2	693.2	594.2	21.7	3177.9
17454044	3922	97.5	0.2	634	568.5	22.7	2590.6
17454144	4090.1	77.2	0.2	693.7	588.9	21.3	2702.8
17454221	4835.1	81.6	0.3	755.8	697.9	22.8	3269.9
17454322	4674.5	105.8	0.2	763	746.5	24	3027.8
17454422	4173.9	97.7	0.2	731.1	704.1	21.9	2612.2
