antikeeper	attacker	builder	claimer	harvester	healer	longbuilder	longharvester	longminer	miner	shortminer	tick	upgrader
0	0	0.31	0.32	0.56	0	0.46	0.40	0.52	0.41	0.40	17168954	0.34
0	0	0.31	0.67	0.55	0	0.45	0.88	0.56	0.51	0.25	17169054	0.33
0	0	0.51	0.84	0.64	0	0.44	0.48	0.49	0.35	0.24	17169473	0.29
0	0	0.65	0.27	0.50	0	0.34	0.66	0.44	0.34	0.18	17169573	0.33
0	0	0.26	0.66	0.67	0	0.09	0.55	0.48	0.42	0.23	17169674	0.36
0	0	0.37	0.32	0.55	0	0.39	0.64	0.43	0.36	0.19	17169774	0.24
0	0	0.41	0.24	0.51	0	0.43	0.69	0.46	0.46	0.20	17169874	0.31
0	0	0.56	0.33	0.55	0	0.45	0.52	0.47	0.45	0.23	17169974	0.39
0	0	0.51	0.51	0.52	0	0.54	0.63	0.43	0.34	0.22	17170074	0.34
0	0	0.47	0.44	0.58	0	0.45	0.59	0.43	0.46	0.20	17170174	0.28
0	0	0.30	0.25	0.56	0	0.48	0.71	0.50	0.42	0.22	17170274	0.38
0	0	0.64	0.47	0.60	0	0.39	0.92	0.47	0.35	0.17	17170374	0.29
0	0	0.50	0.70	0.61	0	0.39	1.51	0.46	0.46	0.20	17170474	0.27
0	0	0.47	0.31	0.39	0	0.35	1.29	0.51	0.40	0.39	17170574	0.28
0	0	0.67	0.47	0.51	0	0.39	1.37	0.46	0.38	0.22	17170674	0.29
0	0	0.66	0.44	0.52	0	0.37	1.18	0.46	0.47	0.17	17170774	0.27
0	0	0.31	0.28	0.51	0	0.45	1.23	0.43	0.31	0.18	17170874	0.34
0	0	0.50	0.34	0.62	0	0.36	1.27	0.48	0.35	0.22	17170974	0.39
0	0	0.59	0.71	0.60	0	0.54	1.31	0.46	0.36	0.24	17171074	0.25
0	0	0.41	0.50	0.37	0	0.41	1.28	0.47	0.50	0.22	17171174	0.29
0	0	0.57	0.28	0.57	0	0.36	1.18	0.38	0.43	0.22	17171274	0.28
0	0	0.45	0.63	0.45	0	0.52	0.44	0.48	0.48	0.20	17171374	0.30
0	0	0.24	0.42	0.49	0	0.41	0.75	0.47	0.41	0.21	17171474	0.31
0	0	0.52	0.27	0.51	0	0.43	0.42	0.62	0.46	0.23	17171574	0.31
0	0	0.57	0.29	0.50	0	0.35	0.54	0.47	0.48	0.46	17171674	0.28
0	0	0.72	0.23	0.50	0	0.48	0.47	0.51	0.42	0.28	17171774	0.24
0	0	0.66	0.71	0.54	0	0.47	0.51	0.51	0.44	0.21	17171874	0.29
0	0	0.52	0.43	0.44	0	0.44	0.54	0.49	0.43	0.20	17171974	0.35
0	0	0.64	0.26	0.53	0	0.41	0.49	0.55	0.54	0.19	17172074	0.28
0	0	0.39	0.26	0.52	0	0.44	0.35	0.51	0.49	0.19	17172174	0.38
0	0	0.61	0.90	0.41	0	0.45	0.39	0.53	0.38	0.27	17172274	0.27
0	0	0.47	0.40	0.56	0	0.46	0.52	0.52	0.49	0.21	17172374	0.28
0	0	0.63	0.23	0.44	0	0.54	0.40	0.51	0.41	0.16	17172474	0.30
0	0	0.49	0.77	0.64	0	0.45	0.41	0.45	0.44	0.23	17172574	0.29
0	0	0.46	0.36	0.51	0	0.44	0.37	0.47	0.49	0.20	17172674	0.31
0	0	0.49	0.25	0.54	0	0.42	0.45	0.47	0.41	0.18	17172774	0.26
0	0	0.31	0.82	0.41	0	0.39	0.33	0.50	0.49	0.23	17172874	0.43
0	0	0.60	0.43	0.55	0	0.38	0.39	0.49	0.51	0.30	17172974	0.29
0	0	0.27	0.29	0.47	0	0.50	0.50	0.51	0.50	0.20	17173074	0.29
0	0	0.56	0.44	0.66	0	0.42	0.59	0.51	0.46	0.23	17173174	0.31
0	0	0.61	0.63	0.45	0	0.31	0.37	0.56	0.43	0.29	17173274	0.35
0	0	0.73	0.51	0.61	0	0.34	0.41	0.49	0.48	0.20	17173374	0.27
0	0	0.41	0.55	0.54	0	0.49	0.59	0.51	0.51	0.21	17173475	0.29
