tick	_total	create	finish	memory	needList	roomUpdate	run	bucket	creeps	energy
17604379	4646,9	12,2	0,1	1037,8	244,3	62	3288,3	0	0	0
17604480	4397,7	15,3	0,1	970,2	272	111,7	3026,5	0	0	0
17604580	4887,8	11,6	0,1	917,1	254,9	56,9	3645	0	0	0
17604680	4767,3	16,6	0,1	966	233,9	58,9	3489,5	0	0	0
17604780	4436,3	5,7	0,1	965,3	270	80,3	3112,4	0	0	0
17604880	4915,8	24	0,1	1045	245,5	63,4	3535	0	0	0
17604980	4660	7	0,1	1004,6	264,4	61,9	3319,7	0	0	0
17605080	4556,7	36,2	0,1	1079,6	271,2	62,4	3105	0	0	0
17605180	4894,5	14,6	0,1	1073,9	223,7	56,6	3523,5	0	0	0
17605280	4522,6	9,3	0,1	991,3	264	57,4	3198,3	0	0	0
17605380	4362	6,9	0,1	975,5	243,2	67,4	3067,1	0	0	0
17605480	4755	19	0,1	1128,4	266,2	68,8	3270,4	0	0	0
17605580	4517,2	16,5	0,1	1167,2	240	54,9	3036,6	0	0	0
17605680	4338,8	10,7	0,1	1063	265,3	55,1	2942,3	0	0	0
17605780	4326,9	10,6	0,1	904,1	218,7	78,2	3112,9	0	0	0
17605881	4785,6	13,8	0,1	1110,9	239,1	69,6	3349,4	0	0	0
17605981	4777,9	15,3	0,1	1050	238,4	68,7	3403	0	0	0
17606081	4969,5	17,4	0,1	1173,3	245,3	67	3464,1	0	0	0
17606181	5076,4	9,7	0,1	1062,7	272,9	62	3666,5	0	0	0
17606281	4338,1	10,5	0,1	1110,5	266,4	58,4	2869,8	0	0	0
17606382	4284,9	8,4	0,1	1013,4	212	77,9	2970,6	0	0	0
17606482	4611,4	10	0,1	912,9	230,7	62,5	3392,6	0	0	0
17606582	4269,6	12,2	0,1	974,9	214	55,2	3011	0	0	0
17606682	4426,8	26,3	0,1	1011,1	270,6	59,6	3056,6	0	0	0
17606782	4450,2	7,7	0,1	938,5	256,9	60,5	3184,1	0	0	0
17606882	4896,4	11,8	0,1	1190,5	291,4	77,7	3321,9	0	0	0
17606982	4893,9	12,7	0,1	1241,1	276,3	65,7	3295,7	0	0	0
17607082	4895,9	15,5	0,1	1193,3	278,3	60,2	3346	0	0	0
17607182	4706,4	11,1	0,1	1159,3	272,2	62,1	3199,3	0	0	0
17607282	5065,3	8,3	0,1	1152,7	264,1	81	3556,5	0	0	0
17607382	5028,2	19,2	0,1	1184,2	271,6	67,5	3483,3	0	0	0
17607482	5207	15,3	0,1	1192,1	264,2	67,6	3665,3	0	0	0
17607582	5038,9	8,1	0,2	1224,3	269,9	87,3	3446,7	0	0	0
17607682	4970,9	12,6	0,1	1275,7	237,1	93	3350,1	0	0	0
17607781	5557,1	11,5	0,1	1176,8	371,3	77,1	3917,3	0	0	0
17607881	5487,1	7,4	0,2	1221,6	330,7	78,6	3845,6	0	0	0
17607981	5272,4	19,8	0,2	1181,1	287	77,4	3686,6	0	0	0
17608081	4987,6	12,3	0,1	1214,7	313,5	63,6	3380,1	0	0	0
17608181	4518	13,1	0,1	1080,4	246,8	75,1	3100,3	0	0	0
17608282	4703,6	18	0,1	1037,1	300	64,2	3282	0	0	0
17608382	4844,3	10	0,1	1095,6	253,1	62,7	3419,8	0	0	0
17608482	4500,3	12,1	0,1	976,9	241,2	65,8	3201,9	0	0	0
17608582	4107,3	9,3	0,1	1069,2	250,4	69	2707	0	0	0
17608682	4529,7	27,1	0,1	1089,8	278,5	68,3	3063,5	0	0	0
17608782	4067	12,5	0,1	1059,5	264,8	80,7	2646,7	0	0	0
17608882	4506,8	15,2	0,1	1106,6	278,4	62	3042,1	0	0	0
17608982	4300,8	14,8	0,1	1073,6	249,9	57,1	2903,2	0	0	0
17609082	4052,1	14,2	0,1	1111	251,5	63,8	2609,2	0	0	0
17609182	4621,2	31,5	0,1	1062,6	267	58,4	3199,6	0	0	0
17609282	4625,2	14,1	0,1	1013,5	247,3	70,5	3277,3	0	0	0
17609382	5047,2	12,6	0,1	1067,8	274,5	59,5	3630,6	0	0	0
